00000:Account Number	Address1	Address2	Address3	Branch	City	Code	Company Name	MYOB Company Name	Contact	Contact Phone	County	Email	Fax Number	Main Phone	Manager  Forename 1	Manager  Forename 2	Manager Surname 1	Manager Surname 2	Manager Title 1	Manager Title 2	Notes	Postcode	Type	VAT Code MYOB	Fixed Fee	Price Bracket 2	Price Bracket 3	Price Bracket 4	Price Bracket 5	Price Bracket 6	Price Bracket 7	Price Bracket 8	Price Bracket 9	Price Bracket 10	Max 1st	Max 2nd	Max 3rd	Max 4th	Max 5th	Max 6th	Max 7th	Max 8th	Max 9th	Max 10th	Departments	Pay type	MYOB Quantity
00044:41100	28 Market Place			Wetherby	Wetherby	d-dsh21	Dacre Son & Hartley	Dacre Son & Hartley (Wetherby)	Paul Baxter	1937586177	W. Yorks		1937588762									LS22 4NE	Company	s	15.5					7.6	11.4	19	26.6	34.2						40000	125000	225000	350000	750000	Dacre	Fixed Fee	1
00045:41100				Barnard Castle		p1-GSCBarn	GSC Chartered Surveyors		David Cooper																																						
00046:41100				Truro		p1-HTiddy	H Tiddy & Sons		D Holman																																						
00047:41100				Stoke		p1-Hip1st	Hip1st																																								
00048:41100				Stoke (Binnion Lindsay-Veal)		p1-Hip1st(BLV)	Hip1st																																								
00049:41100				Stoke (Cumbrian Properties)		p1-Hip1st(Cumbrian)	Hip1st																																								
00050:41100				Stoke (Locations)		p1-Hip1st(Locations)	Hip1st																																								
00051:41100				Stoke (Nick Tart)		p1-Hip1st(Nick Tart)	Hip1st																																								
00052:41100				Stoke (Northwood)		p1-Hip1st(NW)	Hip1st																																								
00053:41100				Stourbridge		p1-IPerks	Ian Perks		Chris Biddle																																						
00054:41100				Bude		p1-kt(Bude)	Karl Tatler																																								
00055:41100				Bury		p1-kt(Bury)	Karl Tatler																																								
00056:41100				Carnforth		p1-kt(Carnforth)	Karl Tatler																																								
00057:41100	23 Pensby Road			Heswall	Heswall	p1-KTadv	Karl Tatler	Karl Tatler Estate Agents	Rod		Wirral	sarah@karltatler.com	1513421888	1513422300	Karl		Tatler		Mr			L60  7RA	Company	s	15																				Provinces		1
00058:41100				Holsworthy		p1-kt(Holsworthy)	Karl Tatler																																								
00059:41100				Kingston		p1-kt(Kingston)	Karl Tatler																																								
00060:41100	23 Pensby Road			Kirby	Kirby	p1-kt	Karl Tatler	Karl Tatler Estate Agents	Rod		Wirral	sarah@karltatler.com	1513421888	1516259300	Karl		Tatler		Mr		New rate discussed and aggreed on 17/7/08|newline||newline|New rate ?20 new plan|newline||newline|NO CHARGE for amends|newline||newline|Reformatted achives charged SAME as archive plans ?7.50	L60  7RA	Company	s	20																				Provinces		1
00061:41100				Bridgnorth		p1-MPI	Mercian Property Inspectors		Chris Laming																																						
00062:41100				Bridgnorth (Allan Morris & Guise)		p1-MPI(AMG)	Mercian Property Inspectors																																								
00063:41100				Albrighton		p1-NTartAlb	Nick Tart		Philip Wigley																																						
00064:41100				Albrighton (West Midlands Ltd)		p1-NTartWAlb	Nick Tart																																								
00065:41100				Bridgnorth (Residential)		p1-NTartRes	Nick Tart																																								
00066:41100	16 High Street	Ironbridge		Ironbridge	Telford	p1-NTiron	Nick Tart	Nick Tart - Ironbridge	John	1952433422	Shropshire		1952432342	1952433422							New price negotiated with Nick Tart 18/9/08|newline||newline|was ?20 now ?12.50|newline||newline|no amendment charges, archive only	TF8 7AD	Company	s	12.5																				Provinces		1
00067:41100				Telford		p1-NTtel	Nick Tart	Nick Tart - Ironbridge	Paul	1952200255			1952290002	1952200255							New price negotiated with Nick Tart 18/9/08|newline||newline|was ?20 now ?12.50|newline||newline|no amendment charges, archive only		Company	s	12.5																				Provinces	Fixed Fee	1
00068:41100				Tettenhall (Residential)		p1-NTartTett	Nick Tart																																								
00069:41100				Tettenhall (West Midlands Ltd)		p1-NTartWTett	Nick Tart																																								
00070:41100				Head Office		p4-PadRes	Pad Residential																																								
00071:				London		P1-ParkE	Parkers																																								
00072:41100	Wilton Lodge	1 Wilton Road		Melton Mowbray	Melton Mowbray	p1-ShoulerM	Shouler & Son	Shouler & Son (Melton)	Simon	1664560181			1664410520		Simon							LE13 0UJ		s							25	35	45	55							70000	150000	250000	250001	Provinces		1
00073:41100	9 Market Place	Oakham		Oakham	Rutland	p1-ShoulerOak	Shouler & Son	Shouler & Son (Oakham)	Charlotte Crosby	1572771664		oakham@shoulers.co.uk	1572757921									LE15 6DT		s							25	35	45	55							70000	150000	250000	250001	Provinces		1
00074:41100				Bedfont		p1-TKE	Temple Knight and Ellis		Graham Templeman																																						
00075:				Head Office		p1-VT	Virtually There 360 Ltd																																								
00076:41100				Altrincham		p1-WatersonsAlt	Watersons		Daniel Cash																																						
00077:41100				Hale		p1-Watersons	Watersons		Peter Waterson																																						
