00000:Amendments	AmendTotal	Archive	Branch	Calculated Price	Client	Code	Contact	Current Date	Date Entered	Date Finished	Drawn?	export_flag	Price	Property Address	Property Area	Property Value	record_id	Status	Time
00024:			Bingley	15.5	Dacre Son & Hartley	d-dsh02	Steven Potts	20.02.2010	19.05.2010	20.05.2010	Michael	no	15.5	46 Stoney Ridge Road			12627486	Email Approved	12:09:29
00025:		7.5	Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	11.05.2010	11.05.2010	Bev	no		31 Moorhead Lane (Reformatted Archive)			12627341	Email Approved	11:08:58
00026:2	5.5		Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	11.05.2010	11.05.2010	Bev	no		31 Moorhead Lane (Alterations)			12627342	Email Approved	11:09:10
00027:		7.5	Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	25.05.2010	25.05.2010	Bev	no		2 The Old School (Archive)	3		12627589	Email Approved	12:31:13
00028:2	5.5		Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	25.05.2010	25.05.2010	Bev	no		2 The Old School (Reformat)	3		12627590	Email Approved	12:31:34
00029:			Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	06.05.2010	10.05.2010	Michael	no	15.5	4 South View Terrace			12627278	Email Approved	15:22:00
00030:			Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	10.05.2010	11.05.2010	Michael	no	15.5	6B Chapel Lane			12627326	Email Approved	21:07:08
00031:			Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	12.05.2010	13.05.2010	Michael	no	15.5	Upper Laithe Barn Ogden Lane			12627363	Email Approved	08:47:17
00032:			Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	17.05.2010	24.05.2010	Michael	no	15.5	8 Station Road			12627443	Email Approved	10:24:48
00033:			Bingley Lettings	15.5	Dacre Son & Hartley	d-dshBing(Let)	Lisa Hallett	20.02.2010	17.05.2010	19.05.2010	Michael	no	15.5	40a Parkway			12627451	Email Approved	11:16:51
00034:			Boroughbridge	15.5	Dacre Son & Hartley	d-dsh23	John Lightowler	20.02.2010	12.05.2010	13.05.2010	Michael	no	15.5	Lyndlea Branton Lane			12627367	Email Approved	09:11:23
00035:			Boroughbridge	15.5	Dacre Son & Hartley	d-dsh23	John Lightowler	20.02.2010	12.05.2010	24.05.2010	Michael	no	15.5	9 Norwood Court			12627368	Email Approved	09:13:16
00036:			Boroughbridge	15.5	Dacre Son & Hartley	d-dsh23	John Lightowler	20.02.2010	12.05.2010	24.05.2010	Michael	no	15.5	1 Glebe Close			12627369	Email Approved	09:17:40
00037:			Boroughbridge	15.5	Dacre Son & Hartley	d-dsh23	John Lightowler	20.02.2010	25.05.2010	26.05.2010	Mirek	no	15.5	12 Carr Close			12627581	Email Approved	11:41:25
00038:		7.5	Bramhope	15.5	Dacre Son & Hartley	d-dsh04	Paul Wilson	20.02.2010	25.05.2010	25.05.2010	Bev	no		9 Hilton Court (Reformatted Archive)			12627601	Email Approved	15:59:55
00039:2	5.5		Bramhope	15.5	Dacre Son & Hartley	d-dsh04	Paul Wilson	20.02.2010	25.05.2010	25.05.2010	Bev	no		9 Hilton Court (Alterations)			12627602	Email Approved	15:59:57
00040:			Bramhope	15.5	Dacre Son & Hartley	d-dsh04	Paul Wilson	20.02.2010	06.05.2010	11.05.2010	Michael	no	15.5	24 Hall Rise			12627283	Email Approved	16:47:57
00041:			Bramhope	15.5	Dacre Son & Hartley	d-dsh04	Paul Wilson	20.02.2010	21.05.2010	22.05.2010	Michael	no	15.5	43 The Poplars			12627537	Email Approved	13:00:38
00042:			Guiseley	15.5	Dacre Son & Hartley	d-dsh06	Gemma Hayton	20.02.2010	20.05.2010	21.05.2010	Bev	no	15.5	4 Well View			12627510	Email Approved	12:54:30
00043:			Guiseley	15.5	Dacre Son & Hartley	d-dsh06	Gemma Hayton	20.02.2010	05.05.2010	11.05.2010	Michael	no	15.5	Tanglewood Woodlands Drive			12627256	Email Approved	17:04:41
00044:			Guiseley	15.5	Dacre Son & Hartley	d-dsh06	Gemma Hayton	20.02.2010	05.05.2010	10.05.2010	Michael	no	15.5	5 Marlowe Court			12627257	Email Approved	17:05:24
00045:			Guiseley	15.5	Dacre Son & Hartley	d-dsh06	Gemma Hayton	20.02.2010	05.05.2010	11.05.2010	Michael	no	15.5	88 Silverdale Avenue			12627258	Email Approved	17:06:09
00046:			Guiseley Lettings	15.5	Dacre Son & Hartley	d-dshGui(Let)	Gemma Hayton	20.02.2010	12.05.2010	13.05.2010	Michael	no	15.5	43 Cavalier Drive			12627375	Email Approved	12:22:22
00047:			Guiseley Lettings	15.5	Dacre Son & Hartley	d-dshGui(Let)	Gemma Hayton	20.02.2010	20.05.2010	21.05.2010	Michael	no	15.5	14 Tenterfields			12627500	Email Approved	09:52:05
00048:2	5.5		Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	05.05.2010	05.05.2010	Bev	no		86 Franklin Road (Amendment)			12627249	Email Approved	14:08:02
00049:2	5.5		Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	19.05.2010	19.05.2010	Bev	no		4 Dragon View (Amendment)			12627496	Email Approved	16:41:43
00050:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	07.05.2010	07.05.2010	Dylan	no	15.5	1 The Gables	0		12627289	Email Approved	11:56:24
00051:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	04.05.2010	24.05.2010	Michael	no	15.5	11 Almsford Road			12627217	Email Approved	09:23:29
00052:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	06.05.2010	07.05.2010	Michael	no	15.5	11 Prospect Close			12627259	Email Approved	08:50:50
00053:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	06.05.2010	07.05.2010	Michael	no	15.5	4 Coronation Grove			12627272	Email Approved	13:30:33
00054:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	10.05.2010	10.05.2010	Michael	no	15.5	Flat 8 Princes Villa Court			12627304	Email Approved	08:58:17
00055:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	10.05.2010	10.05.2010	Michael	no	15.5	73 St Winifreds Road			12627305	Email Approved	08:59:44
00056:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	10.05.2010	13.05.2010	Michael	no	15.5	Orchard House			12627328	Email Approved	21:12:43
00057:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	10.05.2010	11.05.2010	Michael	no	15.5	1 79 Dragon Parade			12627329	Email Approved	21:14:12
00058:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	12.05.2010	14.05.2010	Michael	no	15.5	207 Victoria Court			12627396	Email Approved	19:18:16
00059:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	18.05.2010	19.05.2010	Michael	no	15.5	Flat 2 3 Cheltenham Parade			12627463	Email Approved	08:53:28
00060:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Sandra Wright	20.02.2010	20.05.2010	21.05.2010	Michael	no	15.5	88 Prospect Road			12627507	Email Approved	11:15:32
00061:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Chris O'Mahony	20.02.2010	25.05.2010	26.05.2010	Kate	no	15.5	64 Cold Bath Road			12627586	Email Approved	12:27:20
00062:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Chris O'Mahony	20.02.2010	25.05.2010	26.05.2010	Kate	no	15.5	3 Larkfield Drive			12627587	Email Approved	12:27:54
00063:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Chris O'Mahony	20.02.2010	05.05.2010	06.05.2010	Michael	no	15.5	3 Nidd Rise			12627236	Email Approved	13:18:06
00064:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Chris O'Mahony	20.02.2010	07.05.2010	10.05.2010	Michael	no	15.5	19 College Road			12627296	Email Approved	15:56:11
00065:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Chris O'Mahony	20.02.2010	21.05.2010	22.05.2010	Michael	no	15.5	22 Castle Road			12627535	Email Approved	11:55:01
00066:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Chris O'Mahony	20.02.2010	25.05.2010	25.05.2010	Mirek	no	15.5	10 Stray Court			12627574	Email Approved	07:54:06
00067:			Harrogate	15.5	Dacre Son & Hartley	d-dsh07	Nick Alcock	20.02.2010	19.05.2010	20.05.2010	Michael	no	15.5	23 High Street			12627485	Email Approved	11:22:19
00068:		7.5	Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	06.05.2010	06.05.2010	Bev	no		7 Southfield Road (Archive)	3		12627275	Email Approved	14:23:21
00069:2	5.5		Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	06.05.2010	06.05.2010	Bev	no		7 Southfield Road (Amendment)	3		12627276	Email Approved	14:23:39
00070:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	18.05.2010	18.05.2010	Bev	no	15.5	14 St Christophers Drive (Archive)			12627464	Email Approved	08:55:56
00071:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	18.05.2010	18.05.2010	Bev	no	15.5	14 St Christophers Drive (Amendment)			12627465	Email Approved	08:56:10
00072:		7.5	Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	26.05.2010	26.05.2010	Bev	no		11 The Copse (Archive)	3		12627615	Email Approved	12:24:08
00073:2	5.5		Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	26.05.2010	26.05.2010	Bev	no		11 The Copse (Amendment)	3		12627616	Email Approved	12:24:14
00074:		7.5	Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	26.05.2010	26.05.2010	Bev	no		124 Curly Hill (Archive)			12627617	Email Approved	12:28:27
00075:2	5.5		Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	26.05.2010	26.05.2010	Bev	no		124 Curly Hill (Amendment)			12627618	Email Approved	12:28:27
00076:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	26.05.2010	27.05.2010	Bev	no	15.5	2 Beechwood Grove			12627621	Email Approved	14:26:20
00077:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	14.05.2010	14.05.2010	Dylan	no	15.5	11 Wheatley Grove			12627413	Email Approved	07:45:32
00078:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	20.05.2010	21.05.2010	Dylan	no	15.5	10 Station Road			12627521	Email Approved	16:09:02
00079:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	22.05.2010	24.05.2010	Kate	no	15.5	24 St Philips Way			12627560	Email Approved	14:10:34
00080:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	25.05.2010	26.05.2010	Kate	no	15.5	14 Alexandra Crescent			12627591	Email Approved	12:33:58
00081:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	06.05.2010	24.05.2010	Michael	no	15.5	3 Croft Park			12627277	Email Approved	14:24:34
00082:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	07.05.2010	10.05.2010	Michael	no	15.5	129 Curly Hill			12627291	Email Approved	14:01:17
00083:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	07.05.2010	10.05.2010	Michael	no	15.5	Sunny Bank Farm			12627292	Email Approved	14:02:26
00084:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	12.05.2010	14.05.2010	Michael	no	15.5	4 William Fison Ride			12627395	Email Approved	19:16:35
00085:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	17.05.2010	17.05.2010	Michael	no	15.5	8 Regency Court			12627434	Email Approved	08:04:44
00086:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	17.05.2010	21.05.2010	Michael	no	15.5	Flat 3 6 Wells Walk			12627442	Email Approved	08:47:15
00087:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	19.05.2010	20.05.2010	Michael	no	15.5	144 Main Street			12627483	Email Approved	10:36:11
00088:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Ian Briggs	20.02.2010	20.05.2010	20.05.2010	Michael	no	15.5	3 Valley Road			12627497	Email Approved	08:29:37
00089:		7.5	Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Patrick McCutcheon	20.02.2010	26.05.2010	26.05.2010	Bev	no		Rowley Gate (Archive)			12627619	Email Approved	12:32:26
00090:2	5.5		Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Patrick McCutcheon	20.02.2010	26.05.2010	26.05.2010	Bev	no		Rowley Gate (Reformat)			12627620	Email Approved	12:32:26
00091:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Patrick McCutcheon	20.02.2010	12.05.2010	12.05.2010	Michael	no	15.5	Low Wood 28 Southfield Road			12627361	Email Approved	08:45:08
00092:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Patrick McCutcheon	20.02.2010	12.05.2010	12.05.2010	Michael	no	15.5	Apt 2 Regent House			12627362	Email Approved	08:45:59
00093:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Patrick McCutcheon	20.02.2010	17.05.2010	17.05.2010	Michael	no	15.5	44 Ilkley Hall Park			12627435	Email Approved	08:08:17
00094:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Patrick McCutcheon	20.02.2010	25.05.2010	25.05.2010	Michael	no	15.5	Apt 7 Willow Springs			12627592	Email Approved	13:17:30
00095:			Ilkley	15.5	Dacre Son & Hartley	d-dsh08	Patrick McCutcheon	20.02.2010	27.05.2010	Not Completed		no	15.5	Heathcote Cottages			12627643	Pending	15:09:32
00096:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	27.05.2010	Not Completed	Kate	no	15.5	40 Redwood Close			12627629	Being Drawn	09:09:14
00097:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	27.05.2010	Not Completed	Kate	no	15.5	Highfield House			12627630	Being Drawn	09:09:58
00098:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	27.05.2010	Not Completed	Kate	no	15.5	45 Kensington Street			12627631	Being Drawn	09:10:28
00099:		7.5	Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	05.05.2010	06.05.2010	Bev	no		Brooke House (Archive)	3		12627240	Email Approved	13:28:30
00100:2	5.5		Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	05.05.2010	06.05.2010	Bev	no		Brooke House (Amendment)	3		12627241	Email Approved	13:28:30
00101:		7.5	Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	12.05.2010	12.05.2010	Bev	no		28 Longacre Lane (Archive)			12627390	Email Approved	16:31:09
00102:2	5.5		Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	12.05.2010	12.05.2010	Bev	no		28 Longacre Lane (Reformat)			12627391	Email Approved	16:31:29
00103:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	13.05.2010	14.05.2010	Dylan	no	15.5	4 Nursery Close			12627401	Email Approved	10:31:10
00104:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	13.05.2010	14.05.2010	Dylan	no	15.5	4 South Edge			12627402	Email Approved	10:31:53
00105:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	13.05.2010	14.05.2010	Dylan	no	15.5	2 Staveley Road			12627407	Email Approved	15:05:03
00106:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	05.05.2010	06.05.2010	Michael	no	15.5	8 Scott Lane			12627239	Email Approved	13:27:44
00107:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	05.05.2010	06.05.2010	Michael	no	15.5	20 Oakbank Drive			12627242	Email Approved	13:29:59
00108:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	05.05.2010	06.05.2010	Michael	no	15.5	Little Haley			12627243	Email Approved	13:31:19
00109:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	06.05.2010	07.05.2010	Michael	no	15.5	6 High Banks Close			12627266	Email Approved	09:40:25
00110:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	11.05.2010	11.05.2010	Michael	no	15.5	8 Low Laithe Fold			12627330	Email Approved	09:00:16
00111:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	11.05.2010	11.05.2010	Michael	no	15.5	128 Wheathead Lane			12627331	Email Approved	09:04:08
00112:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	11.05.2010	11.05.2010	Michael	no	15.5	91 Mytholmes Lane			12627332	Email Approved	09:05:33
00113:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	11.05.2010	11.05.2010	Michael	no	15.5	7 Croft Street			12627333	Email Approved	09:06:14
00114:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	11.05.2010	11.05.2010	Michael	no	15.5	59 Staveley Road			12627334	Email Approved	09:06:46
00115:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	11.05.2010	11.05.2010	Michael	no	15.5	13 Howbeck Avenue			12627335	Email Approved	09:09:12
00116:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	17.05.2010	18.05.2010	Michael	no	15.5	Riverside 1 Danems Lane			12627445	Email Approved	10:26:32
00117:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	17.05.2010	18.05.2010	Michael	no	15.5	Apt 3 Applegarth Gardens			12627446	Email Approved	10:27:16
00118:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	17.05.2010	18.05.2010	Michael	no	15.5	Fieldgate Farm			12627447	Email Approved	10:28:14
00119:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	17.05.2010	18.05.2010	Michael	no	15.5	Wildwood			12627448	Email Approved	10:29:03
00120:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	18.05.2010	19.05.2010	Michael	no	15.5	Proposed 8 Scott Lane			12627466	Email Approved	09:43:18
00121:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	19.05.2010	20.05.2010	Michael	no	15.5	18-20 Coldshaw Top			12627480	Email Approved	08:55:10
00122:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	19.05.2010	20.05.2010	Michael	no	15.5	19 Spring Avenue			12627481	Email Approved	08:56:09
00123:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	25.05.2010	27.05.2010	Mirek	no	15.5	56 Bogthorn			12627597	Email Approved	14:44:51
00124:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	25.05.2010	27.05.2010	Mirek	no	15.5	11 Burley Mews			12627598	Email Approved	14:45:36
00125:			Keighley	15.5	Dacre Son & Hartley	d-dsh09	David Cocks / Ian	20.02.2010	27.05.2010	Not Completed		no	15.5	20 Minnie Street			12627632	Pending	09:11:15
00126:			Keighley Lettings	15.5	Dacre Son & Hartley	d-dshKeigh(Let)	Holly Uttley	20.02.2010	10.05.2010	11.05.2010	Dylan	no	15.5	25 Bridgehouse Lane			12627315	Email Approved	12:45:17
00127:			Keighley Lettings	15.5	Dacre Son & Hartley	d-dshKeigh(Let)	Holly Uttley	20.02.2010	22.05.2010	24.05.2010	Michael	no	15.5	8 Upper Town			12627556	Email Approved	11:10:57
00128:			Keighley Lettings	15.5	Dacre Son & Hartley	d-dshKeigh(Let)	Holly Uttley	20.02.2010	22.05.2010	24.05.2010	Michael	no	7.5	10 Upper Town			12627557	Email Approved	11:11:12
00129:			Keighley Lettings	15.5	Dacre Son & Hartley	d-dshKeigh(Let)	Holly Uttley	20.02.2010	25.05.2010	25.05.2010	Mirek	no	15.5	17 Ryelands Street			12627580	Email Approved	11:40:48
00130:			Keighley Lettings	15.5	Dacre Son & Hartley	d-dshKeigh(Let)	Holly Uttley	20.02.2010	01.05.2010	Not Completed		no	15.5	1 Woodlands Mill			12627207	On Hold	16:46:06
00131:		7.5	Knaresborough	15.5	Dacre Son & Hartley	d-dsh10	Nick	20.02.2010	20.05.2010	20.05.2010	Bev	no		The Hawthorns (Archive)			12627503	Email Approved	10:41:09
00132:2	5.5		Knaresborough	15.5	Dacre Son & Hartley	d-dsh10	Nick	20.02.2010	20.05.2010	20.05.2010	Bev	no		The Hawthorns (Amendment)			12627504	Email Approved	10:41:21
00133:			Knaresborough	15.5	Dacre Son & Hartley	d-dsh10	Nick	20.02.2010	24.05.2010	24.05.2010	Bev	no	15.5	17 York Road			12627562	Email Approved	10:24:51
00134:		7.5	Knaresborough	15.5	Dacre Son & Hartley	d-dsh10	Nick	20.02.2010	25.05.2010	25.05.2010	Bev	no		6 Aspin View (Archive)	3		12627595	Email Approved	14:10:59
00135:2	5.5		Knaresborough	15.5	Dacre Son & Hartley	d-dsh10	Nick	20.02.2010	25.05.2010	25.05.2010	Bev	no		6 Aspin View (Amendment)	3		12627596	Email Approved	14:11:00
00136:			Knaresborough	15.5	Dacre Son & Hartley	d-dsh10	Nick	20.02.2010	12.05.2010	14.05.2010	Michael	no	15.5	Stoney Bank Station Road			12627370	Email Approved	09:21:05
00137:			Knaresborough	15.5	Dacre Son & Hartley	d-dsh10	Nick	20.02.2010	14.05.2010	17.05.2010	Michael	no	15.5	4 Castle Mills			12627431	Email Approved	15:58:42
